particle,r_um,type
968,0.5944504975318091,perfect
582,0.5995104677929652,perfect
556,0.599989930153669,perfect
92,0.6023001724686852,perfect
271,0.7144970073983662,doublet
1131,0.7543260875720811,perfect
163,0.770158841344404,perfect
1023,0.7720324079761154,perfect
57,0.7763893547055017,perfect
383,0.8740316249200523,perfect
246,0.916918085112222,perfect
1157,0.9490323442341636,perfect
7,0.9698337552786492,perfect
120,1.0223767160879336,perfect
497,1.0338670412030004,perfect
17,1.039895407076388,perfect
1,1.0498642172023394,perfect
18,1.0639015149478022,perfect
411,1.0792500000000012,perfect
615,1.1043877094364043,perfect
25,1.1704367938982148,perfect
703,1.182181252539337,perfect
945,1.1822399320458417,singlet
716,1.1956432887576465,doublet
81,1.2468425822564535,perfect
827,1.268565220303138,perfect
496,1.2782771900273808,perfect
385,1.2793721425375475,doublet
981,1.283794071691838,doublet
8,1.2895881171062311,perfect
103,1.2951000000000017,perfect
9,1.3334102260584924,doublet
2,1.336614655361065,perfect
93,1.5053685449737373,perfect
23,1.510950000000005,perfect
28,1.5109500000000071,perfect
382,1.5249591089975407,blob
835,1.5490031974663163,blob
428,1.559346361939766,doublet
203,1.6088633562825148,blob
197,1.711532771482532,doublet
1026,1.7373875708819548,doublet
1154,1.7458912162443436,doublet
306,1.7613306521329348,doublet
72,1.7622622297002957,doublet
15,1.7629623369170078,doublet
410,1.7757245422229333,doublet
11,1.8290572688058069,blob
22,1.829999848903284,doublet
1000,1.856992630538702,blob
151,1.884290890538229,doublet
13,1.8939909647505784,doublet
305,1.8985631170415835,doublet
1102,1.9153074168898567,doublet
915,1.925906922744196,doublet
627,1.9453188541747368,blob
1031,1.9751506492969584,doublet
24,2.086550000000002,singlet
12,2.7582021396892222,perfect
902,2.9001061197743816,doublet
297,2.9032269430695155,doublet
1001,,perfect
