particle,keep,type,note,source,proposed,reason,x_med,y_med,R_px_med,sym_med
3,0,reject,,human,reject,not-round;elongated,1153.111328125,164.74684143066406,13.178341872375622,155.7516
1713,0,reject,,auto,reject,short;mislink,8.298019886016846,987.7662353515624,17.364153616076916,120.11983
8,0,defocus,,human,reject,defocus,904.8203125,694.1973266601562,9.077819935581733,80.01794
12,0,reject,,human,reject,not-round;elongated,161.36636352539062,445.4985046386719,13.113773912343094,50.546005
10,0,reject,,human,reject,not-round;elongated,551.938720703125,525.2050170898438,12.443485556201162,43.974014
13,0,reject,,human,reject,not-round;elongated,730.197265625,498.1164855957031,13.986986750667548,40.86791
7,1,single,,human,reject,defocus,1582.88623046875,65.98345184326172,9.594698708410252,38.23595
6281,0,reject,,auto,reject,not-round;elongated,705.5555725097656,479.92333984375,13.882610799235591,31.887164
17,0,reject,,human,reject,rigid-doublet;not-round;elongated,1143.4532470703125,164.24129486083984,14.743796422505994,28.484214
4933,0,reject,,auto,reject,two-cores,695.3236389160156,568.1454162597656,13.73459293637575,26.4326705
14,1,single,,human,reject,defocus,1058.5343017578125,592.7918701171875,8.364690514049794,23.396795
11,1,single,,human,reject,two-cores,83.02501678466797,1013.829132080078,12.057755281521178,22.3988455
7080,0,reject,,auto,reject,short;not-round;elongated,1133.8516845703125,170.30148315429688,13.100633366930465,21.25923
3140,0,reject,,auto,reject,defocus,1263.6807861328125,1199.3204345703125,12.027756570451007,21.173822
19,0,reject,,human,reject,two-cores;not-round;elongated,721.1654052734375,505.6096496582031,13.92029071573856,18.843235
15,1,single,,human,reject,defocus,963.1888427734376,242.5225372314453,8.488001813036348,18.0648135
20,0,reject,,human,reject,two-cores;not-round;elongated,540.4508361816406,549.3573608398438,13.2809062025498,15.247873
3102,0,reject,,auto,reject,defocus,977.6226501464844,259.18341064453125,8.3064091514866,15.093134
4490,0,reject,,auto,reject,two-cores;defocus,42.55298805236816,1011.0208129882812,8.42713773760973,14.7110405
21,1,single,,human,reject,defocus,1260.21728515625,1063.9901123046875,6.951737019662126,14.226741
2164,0,reject,,auto,reject,two-cores;not-round;elongated,571.5941162109375,517.8641967773438,12.517964739107772,11.35096
617,0,reject,,human,reject,two-cores,84.9970817565918,544.4080200195312,11.689929110470564,10.088215
6233,0,reject,,auto,reject,not-round,1003.9937133789062,53.71439743041992,16.569210165207057,8.840483
5005,0,reject,,auto,reject,defocus,1042.7918701171875,85.2137222290039,11.37084985032059,8.5698615
2553,0,reject,,auto,reject,not-round,82.01664733886719,574.8394165039062,13.74062141398431,8.515616
1817,0,reject,,auto,reject,two-cores;not-round,525.9368896484375,536.4481811523438,15.52958040563352,7.464089
27,1,single,,human,reject,two-cores,999.0008850097656,74.54206085205078,10.779988932239268,6.96525315
31,0,reject,,human,reject,not-round;elongated,169.4807586669922,448.7424926757813,13.109031440753856,6.750692
3259,0,reject,,auto,reject,two-cores,432.5061645507813,271.59132385253906,13.167637306703876,5.7721632
1677,0,reject,,auto,reject,not-round,844.8203430175781,596.2698974609375,20.0833832079941,5.28432295
3928,0,reject,,auto,reject,not-round;elongated,430.1518249511719,244.84034729003903,16.40816066319651,4.932325
29,0,reject,,auto,reject,not-round;defocus;mislink,1063.7403564453125,376.2766418457031,31.33914238713969,4.8774357
3256,0,reject,,auto,reject,not-round;defocus,1109.3543701171875,544.8023681640625,10.586595256505811,4.7158957
4479,0,reject,,auto,reject,not-round;elongated,44.66869735717773,227.5684814453125,12.704162237911447,4.2009444
1656,0,reject,,auto,reject,not-round;elongated,1072.7462158203125,339.64312744140625,22.99987513505581,4.1068435
5451,0,reject,,auto,reject,not-round;defocus,801.7369995117188,564.4513854980469,20.460108489476788,4.0918256500000005
4247,0,reject,,auto,reject,elongated;defocus,424.2433166503906,247.4556884765625,13.48829076171175,3.9978058
32,0,reject,,human,reject,not-round;defocus,1167.4696044921875,764.1478881835938,12.306152682633815,3.928274
5517,0,reject,,auto,reject,not-round,12.84791612625122,214.4359893798828,13.528340725751203,3.86545455
