particle,keep,proposed,reason,R_px_med,sym_med
2513,0,reject,not-round,11.699292740418551,55.5756815
5,0,reject,short,10.003076089906632,39.401237
7,0,reject,defocus,9.267938107625064,38.146397
7477,0,reject,not-round,11.103331048343948,32.925236
15,0,reject,rigid-doublet;not-round,14.37712651118825,30.549103
13,0,reject,rigid-doublet;not-round;mislink,15.285335243740468,28.631548
3888,0,reject,rigid-doublet;not-round,11.893599872125474,24.594133
513,0,reject,not-round,9.422056662590377,23.056772
5664,0,reject,not-round;elongated,13.034765937194392,22.81621
4117,0,reject,two-cores;not-round,22.27627998231532,22.389416
4923,0,reject,not-round,12.813976041929768,20.84272
14,0,reject,two-cores;not-round,22.366966036994423,19.676962
5489,0,reject,not-round,9.517966983700534,19.225319
19,0,reject,defocus,8.437988715742208,17.751312
18,0,reject,defocus,10.737736799563285,17.287195
10,0,reject,two-cores;not-round,9.16909811551748,17.012201
4253,0,reject,rigid-doublet;two-cores;not-round,13.63667693868015,13.783459
1139,0,reject,not-round;mislink,11.976707187031652,13.770698
36,0,reject,two-cores;not-round,13.440884518130172,12.233337
3283,0,reject,defocus,7.3794678528505955,11.598728
207,0,reject,rigid-doublet;two-cores;not-round;elongated,11.799513130025906,11.461092
23,0,reject,defocus,7.347006123943165,11.259282
20,0,reject,defocus,11.057696821395446,11.1894865
35,0,reject,two-cores;not-round,22.05791978493773,10.920311
34,0,reject,two-cores;not-round;mislink,25.97916330697367,10.60808
6133,0,reject,two-cores,11.49374947696404,9.983949
31,0,reject,two-cores;not-round,13.252674861172745,9.944814
21,0,reject,defocus,9.119701871403612,9.6829025
8011,0,reject,two-cores;not-round,10.689892663433987,9.566983
4869,0,reject,two-cores;not-round,13.451472534153169,9.5534595
4000,0,reject,rigid-doublet;two-cores;not-round;elongated,12.052828929368715,9.4713335
29,0,reject,short,7.591409599142856,9.423683
2790,0,reject,two-cores;not-round,21.981239255514744,9.397006
9,0,reject,two-cores;not-round,12.270542218370482,8.758476
1896,0,reject,not-round,9.205358075551684,8.728905000000001
3110,0,reject,two-cores;defocus,12.144605577166338,8.4476195
2617,0,reject,rigid-doublet;two-cores;not-round,13.654731381511665,8.442061
7424,0,reject,rigid-doublet;not-round,9.53808708049696,8.371518
3233,0,reject,two-cores;not-round,11.515392378905464,8.285198
4265,0,reject,not-round,11.279410866503673,8.265322
1613,0,reject,defocus,9.445035158467665,7.4401607
33,0,reject,rigid-doublet;not-round,10.13891460495681,7.39618015
5560,0,reject,short;two-cores;not-round,12.08185516620649,7.36580465
3393,0,reject,two-cores;not-round;elongated,11.911459621630248,7.11515135
7443,0,reject,not-round,8.910617522101074,7.0956918
4174,0,reject,two-cores;not-round;elongated,12.016806370902852,6.924842
5325,0,reject,rigid-doublet;not-round,11.881291639785877,6.91912825
8342,0,reject,short,8.541954494917658,6.86943565
6763,0,reject,not-round,9.028163171840252,6.818099500000001
3651,0,reject,two-cores;not-round,8.89529810049984,6.607560250000001
676,0,reject,not-round;elongated;mislink,12.21163416375176,6.535580400000001
5858,0,reject,short;two-cores,10.86679792599586,6.478794
5623,0,reject,two-cores;not-round,9.948337900121691,6.45826935
5002,0,reject,not-round,8.390973650353166,6.413033
4049,0,reject,two-cores;not-round;mislink,13.30539194573292,6.2157885
8188,0,reject,not-round;elongated,12.19291065020511,6.1084082
7478,0,reject,not-round;elongated,9.021686983371646,6.0248027
6904,0,reject,two-cores;not-round;elongated,12.114269520646776,6.021546
2784,0,reject,two-cores;not-round;mislink,13.18561481437429,6.019589
1248,0,reject,not-round,9.455885154083958,5.94241405
3219,0,reject,rigid-doublet;not-round,9.377022607639343,5.92400335
8,0,reject,two-cores;not-round;elongated;defocus,9.401859198526749,5.8260203
3209,0,reject,rigid-doublet;two-cores,12.221408390771709,5.811245
