particle,frame,x,y,x_raw,y_raw,sym,r_est,polarity,contrast
0,0,630.7120361328125,677.1000366210938,630.7120361328125,677.1000366210938,146.1421,14.0,1,66.31255
1,0,357.3676452636719,1183.80029296875,357.3676452636719,1183.80029296875,134.19203,12.0,1,62.142876
2,0,355.70294189453125,833.2857666015625,355.70294189453125,833.2857666015625,115.48643,13.0,1,64.63268
3,0,961.9755249023438,368.0353698730469,961.9755249023438,368.0353698730469,97.119316,9.0,1,69.03648
4,0,1307.8936767578125,970.7044677734375,1307.8936767578125,970.7044677734375,81.69988,8.0,1,68.59042
5,0,1142.4180908203125,154.02284240722656,1142.4180908203125,154.02284240722656,81.35526,9.0,1,68.01667
6,0,1132.9908447265625,988.2351684570312,1132.9908447265625,988.2351684570312,55.81459,11.0,1,72.76339
7,0,222.0909881591797,262.1563415527344,222.0909881591797,262.1563415527344,55.596756,11.0,1,25.322561
8,0,1438.9066162109375,105.07830047607422,1438.9066162109375,105.07830047607422,49.9054,8.0,1,12.384284
9,0,1362.4019775390625,523.7535400390625,1362.4019775390625,523.7535400390625,42.255543,7.0,1,40.120426
10,0,458.24554443359375,222.3143768310547,458.24554443359375,222.3143768310547,35.75616,9.0,1,68.555984
11,0,859.0369262695312,371.392822265625,859.0369262695312,371.392822265625,30.92138,7.0,1,68.56543
12,0,1244.9371337890625,270.6550598144531,1244.9371337890625,270.6550598144531,28.580774,11.0,1,72.43088
13,0,1270.0635986328125,1183.285400390625,1270.0635986328125,1183.285400390625,25.572098,7.0,1,64.28203
14,0,142.05752563476562,710.7455444335938,142.05752563476562,710.7455444335938,24.323364,9.0,1,67.496605
15,0,1142.3365478515625,835.9810791015625,1142.3365478515625,835.9810791015625,20.040579,12.0,1,64.76108
16,0,1304.759521484375,372.5565185546875,1304.759521484375,372.5565185546875,17.330933,9.0,1,7.4077473
17,0,473.7996826171875,227.66807556152344,473.7996826171875,227.66807556152344,16.545979,8.0,1,74.102806
18,0,787.476318359375,485.0281066894531,787.476318359375,485.0281066894531,15.604316,9.0,1,3.3398318
19,0,931.753662109375,78.57606506347656,931.753662109375,78.57606506347656,15.311974,10.0,-1,38.95501
20,0,257.5118713378906,444.7560119628906,257.5118713378906,444.7560119628906,14.591733,9.0,1,57.26759
21,0,247.57667541503906,175.8902130126953,247.57667541503906,175.8902130126953,10.043981,10.0,-1,16.675905
22,0,671.6028442382812,129.8772430419922,671.6028442382812,129.8772430419922,9.403775,9.0,1,38.351967
23,0,5.888692378997803,1148.1429443359375,5.888692378997803,1148.1429443359375,7.6222615,6.0,1,54.796616
24,0,245.79188537597656,423.9473876953125,245.79188537597656,423.9473876953125,7.2566757,14.0,1,25.767931
25,0,743.1710205078125,204.51129150390625,743.1710205078125,204.51129150390625,6.693135,6.0,1,54.847496
26,0,1335.1351318359375,1118.6636962890625,1335.1351318359375,1118.6636962890625,6.6064706,5.0,1,39.55777
27,0,146.6383056640625,692.9715576171875,146.6383056640625,692.9715576171875,5.4625015,7.0,1,55.240913
28,0,314.8174133300781,533.6127319335938,314.8174133300781,533.6127319335938,4.860964,22.0,-1,31.29455
29,0,655.5852661132812,684.4402465820312,655.5852661132812,684.4402465820312,4.8167825,4.0,1,17.595043
30,0,1157.9945068359375,785.865966796875,1157.9945068359375,785.865966796875,4.5981965,15.0,1,43.36737
