run,T_C,T_unc_C,eta_cP,rstar_um,n_free,n_wall_dropped,n_drift_excluded,kb_fit,se_kb_fit,se_kb_scatter,r2,kb_median,se_kb_median,kb_median_incl_drift,ratio_fit,ratio_median
run2,14.0,1.0,1.169402338472117,1.3478297243689024,5,0,2,1.5910545765594414e-23,3.0567120379750407e-24,3.149346735596797e-24,0.8713547140181559,1.9162015845620447e-23,3.073262082946894e-24,1.9162015845620447e-23,1.1523961387430413,1.3878991579771864
run3,14.0,1.0,1.169402338472117,1.3478297243689024,4,0,1,1.5086760637625932e-23,2.187150561317909e-24,2.247479911752396e-24,0.940689329538957,1.401218725371233e-23,1.1605151408395321e-24,1.457028199773226e-23,1.0927296248087626,1.0148985914386879
run4,14.0,1.0,1.169402338472117,1.3478297243689024,8,0,2,1.704522586329981e-23,9.069909798884045e-25,9.460962389155374e-25,0.9805654257337868,1.759155116439856e-23,1.1248671791065998e-24,1.794451952513191e-23,1.234580683671216,1.274150864151465
run5,15.2,1.0,1.1324815314637118,1.3512637246613246,13,0,6,1.734545550027154e-23,2.014681721487454e-24,2.028609272172187e-24,0.8606659276253366,1.8437766009798107e-23,1.955876422004385e-24,1.7812616101186594e-23,1.256326227757492,1.3354419559061068
run6,15.2,1.0,1.1324815314637118,1.3512637246613246,3,0,5,1.473859036691966e-23,2.400583013419517e-24,2.4049175559499696e-24,0.9496152358661909,1.3616997607678375e-23,1.8540205641347127e-24,1.539566694505743e-23,1.0675117547558908,0.9862751218940059
run7,16.8,1.0,1.0860885651088261,1.356174262899583,16,0,6,1.3786022220207752e-23,1.7375957374809587e-24,1.6033986889073383e-24,0.8075634899796198,1.745404313019525e-23,1.9364430449645332e-24,1.745404313019525e-23,0.9985175247443594,1.264191197776933
run8,16.8,1.0,1.0860885651088261,1.356174262899583,9,0,4,1.6134724596820966e-23,1.5807325283743529e-24,1.5993009778352275e-24,0.928689392081457,1.5838768166229705e-23,1.9692358148675764e-24,1.7115442400107914e-23,1.1686333453919835,1.1471973083839342
run9,20.0,1.0,1.002,1.3671393657423143,5,0,0,1.378809806183429e-23,1.0040753700772917e-24,1.0337712367295154e-24,0.979228496378835,1.2679396343977057e-23,8.96017935708234e-25,1.2679396343977057e-23,0.9986678773413292,0.9183649388061017
run13,24.3,1.0,0.9045271591792187,1.3843366906238859,8,0,0,1.4922305519278107e-23,3.276084960361715e-24,3.384159025601856e-24,0.7477231828691238,1.837754541190019e-23,2.8342082605442596e-24,1.837754541190019e-23,1.080818189074711,1.3310801957557779
run14,24.3,1.0,0.9045271591792187,1.3843366906238859,9,0,0,9.557224819023189e-24,1.526537513068684e-24,1.497079257645221e-24,0.8304963440696922,8.751928272044253e-24,1.0228041355957173e-24,8.751928272044253e-24,0.6922269757934991,0.6338995843291273
run15,30.3,1.0,0.7921439813809015,1.4134024195882957,7,0,1,1.1040624802122494e-23,1.769054167524579e-24,1.773142257748603e-24,0.8665177088629492,1.2631893711317701e-23,1.2275791392613966e-24,1.2646876979306742e-23,0.799669199204323,0.9149243371282418
run16,30.3,1.0,0.7921439813809015,1.4134024195882957,15,0,1,9.72191032740105e-24,1.2006740741958347e-24,1.2517186123802087e-24,0.8240368548375746,1.027442420692348e-23,1.2342801039482323e-24,9.843537210665161e-24,0.7041550986094981,0.7441735160003361
