run,T,ratio,se,n
run2,14.0,1.3878991579771864,0.2225954665484777,5
run3,14.0,1.0148985914386879,0.08405576948518653,4
run4,14.0,1.2663098715297245,0.08012575612664644,9
run5,15.2,1.3354419559061066,0.1416635525759541,13
run6,15.2,0.9862751218940059,0.1342861628215943,3
run7,16.8,1.283756262608826,0.15417727314565727,17
run8,16.8,1.147197308383934,0.14263116946215695,9
run9,20.0,1.108126907191907,0.10977023453451089,7
run10,20.0,1.4138124542528607,0.1942211865435418,6
run11,20.0,1.4153189796951813,0.13691361932420154,5
run12,23.78,1.738738070271161,0.0812235329898699,5
run13,24.3,1.436868403151226,0.14590436119939149,7
run14,24.3,0.6965101610633964,0.1598485664928402,11
run15,30.3,0.9170948044938128,0.1206528513545519,9
run16,30.3,0.7626488891977431,0.09302139688539181,16
