run,n_frames,focus_cv,count_med,flow_med_px,struct_rms_med_px,affine_r2_med,verdict
run1,1355,0.18181525712246566,57.0,0.32654484699820036,0.5635078152279919,0.0769497559955375,clean
run2,1108,0.07605527894120122,52.0,0.344241335034227,0.6128377748425855,0.07502969836466228,clean
run3,2498,0.035480544311699315,41.5,0.3051032323994225,0.5512926878640232,0.07685131283236174,clean
run4,1732,0.06580394685890277,59.0,0.3412949494551911,0.42027978335614735,0.052066782923301025,clean
run5,1549,0.08506226220073713,51.0,0.2648043586540146,0.4549268467093328,0.04470434975993459,clean
run6,1483,0.07111976030502312,69.5,0.30120072455559055,0.41091355174481103,0.0513133227640683,clean
run7,1429,0.035026744941739546,82.0,0.31980272816177685,0.3416044936034167,0.02800588352063671,clean
run8,1436,0.06680637333192387,62.5,0.31289512556285254,0.4189339968693067,0.04901712126314617,clean
run9,2045,0.15109989653020134,69.0,0.4466554535007465,0.4641997141946574,0.04272961448017504,clean
run10,1387,0.09821052267989351,57.0,0.42181697931030493,0.5238955798997026,0.05337852375465457,clean
run11,1601,0.10285598451904132,59.0,0.41830166449147665,0.45612886710786804,0.04320262666350233,clean
run12,2181,0.07073517359439749,27.0,0.694674433834109,0.7456230893086122,0.09136685811324957,clean
run13,1309,0.06559228259488196,45.0,0.3559763530226049,0.47809498910648973,0.04584434888991773,clean
run14,4409,0.05680448674868848,46.0,0.3595440932290853,0.5118430680844479,0.04877819740125655,clean
run15,2167,0.06395230583934741,49.5,0.2876228038685582,0.45242657463808184,0.043334183002494586,clean
run16,1342,0.04007797367431641,43.0,0.32176769848243614,0.4706271151537442,0.04061017024513475,clean
