particle,n_frames,R_px_med,R_cv,resid_med,ring_cv_med,ecc_med,n_cores_med,frac_multicore,inlier_med,n_shape,x_med,y_med,sym_med,polarity,rigid_partner,rigid_sep_cv,rigid_corr,med_step,max_step,mislink,reason,proposed
2,1344,10.341798507636437,0.0807683334522026,0.014355906978468056,0.01485013912189973,0.18717162575249569,1.0,0.012987012987012988,0.9791666666666666,77,1517.9506225585938,296.2041473388672,16.225524,1,-1,,,1.4249884097088004,4.7881735810791515,False,,single
3,397,10.648205259627293,0.053406533812104,0.019690131065897558,0.025353306840135405,0.24871704224611715,1.0,0.0,0.9583333333333334,23,917.8978271484376,17.7701473236084,12.156059,1,-1,,,1.5015089110802442,5.19723997289604,False,,single
4,1387,9.547264722391727,0.15645176952713374,0.011841344523689418,0.012771718713988953,0.16803065614893037,1.0,0.0875,0.9895833333333333,80,1220.14453125,468.5918884277344,7.332111,1,-1,,,1.5129803117788474,5.603599255384886,False,,single
871,886,10.07384152112825,0.11349691566579398,0.012901694585619853,0.07209061660517226,0.2486876742728371,1.0,0.0,0.8541666666666666,51,1165.21875,1109.4172973632812,7.253792,-1,-1,,,1.3386976328515434,4.613914992196994,False,,single
6,1387,12.328136077104089,0.20842795966032024,0.03508711468356518,0.05379715017450533,0.27472079157150814,2.0,0.575,0.9166666666666666,80,1022.3263549804688,339.09686279296875,5.8887916,-1,-1,,,1.6722388995388715,5.321049652504443,False,,single
16,463,9.096602788965576,0.21494606674529212,0.031035073275380548,0.03386549512843453,0.28463757678890134,1.0,0.2962962962962963,1.0,27,615.7907104492188,83.06079864501953,5.036363,1,-1,,,1.6797169645315377,5.72040448090165,False,,single
11,552,8.853096810859757,0.1577527259068395,0.03416865657807758,0.03667616295993929,0.29623602464043086,1.0,0.09375,1.0,32,520.1327819824219,50.65191841125488,4.53821255,1,-1,,,1.6163197520297161,6.5119531380985265,False,,single
1877,292,10.683697625168238,0.06853694952222802,0.038866534060622876,0.07919579262249976,0.2858820641069638,1.0,0.35294117647058826,0.8958333333333334,17,1315.3098754882812,83.6173095703125,3.6809109500000003,-1,-1,,,1.7893256989396031,7.777196746507546,False,,single
9,956,10.784327677191357,0.19307996787363282,0.05750494200415203,0.09045883593573596,0.361029121753211,1.0,0.2545454545454545,0.9375,55,1272.114501953125,350.9341278076172,2.02696585,-1,-1,,,1.8425242590129856,6.1849981037790025,False,,single
853,322,8.850035706557685,0.11034354542909976,0.01246730335958088,0.04241236456600757,0.26010048685023224,1.0,0.10526315789473684,0.875,19,710.4895629882812,272.9246063232422,1.8875871499999999,1,-1,,,1.371603718493272,7.504530933912589,False,,single
937,150,8.461702944252092,0.2192070675921736,0.08559289545718102,0.09268080827010412,0.42832822647713475,1.0,0.125,0.9895833333333333,8,1604.333740234375,300.8964080810547,0.7719209300000001,1,-1,,,2.0142075210291828,6.760215886740246,False,,single
36,140,8.254033559123148,0.09069404546358824,0.08503111300330989,0.09573842396962562,0.40313400215114176,1.0,0.0,0.9895833333333333,8,1499.2508544921875,222.55760192871094,0.6248245699999999,1,-1,,,2.2611272664154014,7.130904766722995,False,,single
