particle,n_frames,D_um2_s,D_err,intercept_um2,alpha,fit_npts
19,1000,0.19688949958788468,0.0007099588811007861,0.032248441874668514,0.9799098380145911,30
0,1000,0.0865299363739023,0.0009645375833584361,0.0007616517363983267,1.0904264791673526,30
1,1000,0.0839611934793704,0.0006024971496398427,0.024679003362516973,1.006884797779489,30
2,1000,0.08455623239135392,0.00046170961595018586,0.005197306063880119,1.0555666005414024,30
8,1000,0.08618730107283055,0.0010039113661224233,-0.04022442471795565,1.0973451171226236,30
10,1000,0.2385717365272393,0.0012713123989156736,-0.05952662441777423,1.0804742584859854,30
11,1000,0.2792829617991064,0.0022352686605479053,-0.09489094773028935,1.0929796293162422,30
12,1000,0.26614166781519955,0.001588091152980917,-0.06792402387263695,1.0720573850060386,30
9,1000,0.22313296255236723,0.0015001766178205967,0.04227700679665638,1.026847789974815,30
20,1000,0.031172852818100748,0.0007630149008950102,0.05548529382984744,0.7857969003409406,30
13,999,0.08527602408558921,0.0004922946435641732,-0.023050805236513296,1.0659746986632506,30
24,997,0.058104504315188,0.0001288613544064542,0.003335430382337516,1.000781665127347,30
47,987,0.0072298451516558514,4.425065551134048e-05,0.008592421931076701,0.6906747724514002,30
247,973,0.07207677670678077,0.0005434965193132943,-0.010041441137710492,0.975673390423993,30
1218,861,0.24651309229999777,0.0008383996848686547,-0.05229951897450957,1.074762511456285,30
23,736,0.09858463242724526,0.0004319672569439057,0.010918310399700001,1.0217679012200782,30
1903,736,0.07550484217975914,0.0009468769188936979,0.04008195261910318,0.9816247081644558,30
3071,619,0.15248524627563106,0.0006486748228698576,-0.05900426902349761,1.1345624811579726,30
376,610,0.2880983055704728,0.0014149679286562422,0.05686251765998975,1.0053866880820383,30
43,560,0.1303661477498268,0.0013520719771513757,-0.057291106696780045,1.031503116662789,30
3680,545,0.21870698083963508,0.0021204321415964787,0.0796166275133008,1.0178095547856274,30
5,544,0.02598568814359291,0.00020610150350943611,0.026407570932824476,0.7757278967118263,30
3775,521,0.004671808860208003,5.025098571399081e-05,0.005953707702387352,0.7055694229972957,30
3111,514,0.06574930753151152,0.0010334474886368127,-0.027679899078837018,1.003706697557648,30
6,505,0.14024038540463274,0.0022176518920415454,0.050665163506520755,1.0348369131479496,30
133,491,0.17101443059551455,0.003288270014707632,0.16903011771632157,0.9333970932018226,30
531,483,0.10198816121644391,0.0037041702005980695,0.18448522866631792,0.8797275212320267,30
4307,457,0.40864951831103513,0.0036502804162103827,-0.05806066547303638,1.0423281196506087,30
7,456,0.3020813701685931,0.0014779752231697963,-0.09569270169731918,1.091058601096119,30
4551,426,0.0930236405387054,0.0007844031103944791,0.018208883673464057,0.9167527724019646,30
2701,421,0.12912198121163487,0.003932506407621966,0.1617640871894187,0.9245823932405778,30
4576,402,0.004329940890579125,0.00017680955314969737,0.019673591367581077,0.5072557114120241,30
17,389,0.02809714109580226,0.0012519720646190454,0.11530776888421192,0.5872367671749577,30
848,377,0.12937265026102207,0.0013615163556993468,0.0537965701088258,0.9355320224936197,30
34,371,0.004049384396523297,0.00010052908507660142,0.012397642895712787,0.54829613498379,30
4544,367,0.6019170258280266,0.009566651562579982,-0.3845165922440207,1.1047889941843534,30
5050,364,0.19506570416887578,0.0024209682938239087,-0.0820226007841372,1.0604199701475117,30
5028,362,0.04482452010791545,0.0003109159458768712,0.023651089016190507,0.810961594520207,30
30,358,0.04159839378606401,0.0001967187011529192,0.010383784237315723,0.9328791164455724,30
4240,351,0.17553442271181408,0.0014223799424143342,0.040463679123547175,1.0042658697048257,30
4168,333,0.08520981388073331,0.0017399327825030845,0.11135758486143359,0.8206091051807162,30
5358,319,0.4060968224860036,0.0046424772772123086,-0.24509041896393546,1.1064837903528975,30
3733,317,0.4702801290396486,0.0058295095179318294,0.09293158127634282,0.9343348570842713,30
2654,316,0.18366924131872442,0.002940890365198702,0.16034675538179086,0.9069033749242039,30
635,299,0.11435876785728442,0.0024571103550284803,-0.11145440644692789,1.144956060877112,30
5613,288,0.19028589193475637,0.005741119868910496,0.2904701551883396,0.8885866466040407,30
5687,277,0.07185850454604352,0.0006446407092593914,0.014061983988611462,0.8733579202812344,30
1011,275,0.4656476076463062,0.001999151040524101,-0.17450958159157956,1.1023051110637414,30
352,269,0.04119673291811202,0.00030588707950855514,0.03662158324676743,0.7223894709327549,30
5795,267,0.8402333828787107,0.010049021544917604,-0.5798364316227143,1.1588673986557032,30
5831,262,0.3257382098931954,0.0019439561016341546,-0.11504158727160078,1.125114057993759,30
3407,258,0.156717187682589,0.0018161342875542782,0.035067438456660445,0.9071769635031673,30
72,258,0.5226030039450327,0.00629359527438945,-0.035047134161426075,1.0315209926968405,30
5667,255,0.003821587415425751,0.00014045549617365682,0.03002985348559503,0.35178048406556134,30
