particle,frame,x,y,x_raw,y_raw,sym,r_est,polarity,contrast
0,0,171.7638397216797,604.3168334960938,171.7638397216797,604.3168334960938,41.27003,14.0,1,32.214207
1,0,979.1746215820312,1032.918212890625,979.1746215820312,1032.918212890625,30.342321,14.0,1,7.2464533
2,0,665.6944580078125,708.2717895507812,665.6944580078125,708.2717895507812,10.991192,10.0,1,24.048515
3,0,927.7978515625,30.310739517211914,927.7978515625,30.310739517211914,9.54918,12.0,-1,39.041534
4,0,1280.5089111328125,429.18115234375,1280.5089111328125,429.18115234375,9.241591,16.0,-1,41.199337
5,0,1353.8734130859375,293.85821533203125,1353.8734130859375,293.85821533203125,8.246402,10.0,-1,45.85928
6,0,280.141845703125,685.8359375,280.141845703125,685.8359375,7.545532,10.0,1,39.252903
7,0,768.1781616210938,417.33282470703125,768.1781616210938,417.33282470703125,6.2145667,12.0,-1,11.838181
9,0,374.69598388671875,127.61370849609375,374.69598388671875,127.61370849609375,5.501264,12.0,1,27.507107
10,0,287.7957763671875,703.4974365234375,287.7957763671875,703.4974365234375,5.2629604,8.0,1,37.718674
11,0,1544.2373046875,842.4237060546875,1544.2373046875,842.4237060546875,4.980887,10.0,-1,43.366405
12,0,1476.9862060546875,1181.1593017578125,1476.9862060546875,1181.1593017578125,4.8237743,10.0,-1,18.069668
13,0,105.6670150756836,870.0364990234375,105.6670150756836,870.0364990234375,4.818075,8.0,1,26.958101
14,0,705.0675659179688,559.510986328125,705.0675659179688,559.510986328125,4.316123,20.0,-1,28.854221
15,0,1143.2186279296875,283.4867248535156,1143.2186279296875,283.4867248535156,4.127233,12.0,-1,17.860565
16,0,917.4876098632812,1083.36376953125,917.4876098632812,1083.36376953125,4.106069,12.0,-1,49.680595
17,0,434.96478271484375,144.004150390625,434.96478271484375,144.004150390625,3.9804165,12.0,1,11.319349
18,0,1535.3162841796875,51.77320098876953,1535.3162841796875,51.77320098876953,3.3089988,14.0,-1,33.647568
19,0,228.6437530517578,1127.909912109375,228.6437530517578,1127.909912109375,3.2601464,22.0,-1,39.32079
20,0,524.30029296875,469.91546630859375,524.30029296875,469.91546630859375,2.9759262,18.0,-1,25.767435
21,0,418.3757629394531,385.2993469238281,418.3757629394531,385.2993469238281,2.7900345,6.0,1,14.451956
22,0,1320.2808837890625,1205.259521484375,1320.2808837890625,1205.259521484375,2.761029,14.0,-1,56.883453
23,0,933.8133544921875,1132.3233642578125,933.8133544921875,1132.3233642578125,2.6234481,10.0,-1,0.87892485
24,0,791.8152465820312,613.237548828125,791.8152465820312,613.237548828125,2.4200046,6.0,1,15.375294
25,0,795.4491577148438,1118.3087158203125,795.4491577148438,1118.3087158203125,2.2540376,14.0,-1,41.6015
