particle,n_frames,R_px_med,R_cv,resid_med,ring_cv_med,ecc_med,n_cores_med,frac_multicore,inlier_med,n_shape,x_med,y_med,sym_med,polarity,rigid_partner,rigid_sep_cv,rigid_corr,med_step,max_step,mislink,reason,proposed
1,1000,26.31349994410509,0.0860749986839734,0.0061420811704972125,0.05742787306487647,0.15514478566681367,2.0,0.6125,0.6041666666666666,80,951.9095153808594,255.58752441406247,14.235756,1,1209,0.02545212233800869,0.736884447323422,0.6795549521810275,2.615620191369313,False,rigid-doublet,reject
4,1000,18.56637991445885,0.04546917177038942,0.01603190866944794,0.17201874151056454,0.3120552061986134,1.0,0.3875,0.6666666666666666,80,591.95849609375,882.0440979003906,9.513551,1,591,0.04532138969943965,0.7340708886577441,0.9246166794936794,3.3600615226849695,False,rigid-doublet;two-cores;not-round,reject
11,1000,14.386821106837735,0.016635916897854756,0.025265431288741903,0.09721453034755587,0.31041877005214,1.0,0.0,0.7916666666666666,80,1358.3118896484375,691.5840454101562,6.6484842,1,1663,0.028225979913189606,0.7624178371155576,1.005498261613158,3.5922259976224935,False,rigid-doublet,reject
19,1000,14.12229600744583,0.02121584527183061,0.020756075108510283,0.07064167369781231,0.25229842799856783,1.0,0.0,0.7916666666666666,80,1363.899169921875,670.4614868164062,5.37647765,1,1663,0.02906052051299169,0.7264306975312635,0.985282760561074,3.4982263278351384,False,rigid-doublet,reject
7,996,14.067001285775241,0.11664766903670226,0.011419521219067348,0.10580119828837281,0.3303280589547957,1.0,0.1,0.768395390070922,80,170.091796875,1192.1407470703125,4.3078468,1,917,0.03647393128171118,0.7116890105040762,1.0411996545629134,3.793325429553013,False,rigid-doublet;not-round,reject
6,1000,24.36585403690619,0.15257997083588287,0.016507349817572722,0.18169112371388996,0.300020894789508,1.0,0.2,0.6875,80,612.2544555664062,852.2815856933594,4.0892190500000005,1,591,0.028372219665734017,0.7414029215467961,0.9199945751019194,6.266789588526895,False,rigid-doublet;not-round,reject
913,644,14.457582997886469,0.1561030102914723,0.03869142800977211,0.21921287858301833,0.423507899589578,2.0,0.6470588235294118,0.7083333333333334,51,35.717180252075195,561.931396484375,4.051718,-1,-1,,,1.3665062239702657,4.234344340671799,False,two-cores;not-round,reject
12,1000,11.845880465776256,0.11644457352067292,0.09464298764059222,0.0991580401983162,0.46748350826851304,1.0,0.05,1.0,80,970.5181884765624,340.2527618408203,3.6756319,1,-1,,,1.2329379808091332,6.20430528100103,False,elongated,reject
5,669,20.519120900838654,0.1443953751341492,0.08066367199337886,0.2260357295750577,0.484077380225704,1.0,0.2962962962962963,0.7708333333333334,54,1001.9181518554688,244.2563018798828,3.1767938,1,-1,,,0.719224658409174,6.697664953715919,True,not-round;elongated;mislink,reject
17,160,11.609727260896006,0.007924244310840586,0.02739903981819196,0.10208544542502852,0.2506074118579206,1.0,0.0,0.7083333333333334,13,153.01692962646484,1205.7824096679688,2.36680915,1,235,0.05043394062326851,0.7157061855689213,1.1833754413712874,3.2401472523170627,False,rigid-doublet;not-round,reject
1497,425,13.124444990395041,0.1522796533510548,0.05161711440608846,0.11259228650983112,0.36172686689001,2.0,0.7941176470588235,0.875,34,555.3546752929688,484.0907287597656,2.1052601,-1,-1,,,1.5362651623775452,4.8498002603212855,False,two-cores;not-round,reject
23,1000,19.32605683533845,0.14596430439404146,0.10516743720234467,0.27484565395646965,0.4046628958329346,1.0,0.0,0.8125,80,995.4919128417969,562.6080017089844,2.07103485,-1,-1,,,1.5770781104080833,5.411761773812413,False,not-round,reject
606,91,11.278044914469397,0.025024290952307203,0.026169649168744005,0.1755811135424627,0.4210341221024237,1.0,0.0,0.75,7,164.47003173828125,1209.6610107421875,1.8905859,1,454,0.051711693138506334,0.7736277142151181,1.2865777574982706,3.3479701122420704,False,rigid-doublet;not-round,reject
21,1000,9.324142072682282,0.15658136278756524,0.0333419887025206,0.12211574405823122,0.39853032288915446,1.0,0.1125,0.8333333333333334,80,546.6551818847656,812.0332336425781,1.8111214,1,-1,,,1.441892207323844,4.6278867105844315,False,not-round,reject
27,379,7.928876606610189,0.2664349672225443,0.03241483323527033,0.03776530630947582,0.27402643490646594,1.0,0.3448275862068966,0.9583333333333334,29,1406.816162109375,1185.009521484375,1.7679013,1,-1,,,1.4789541298230742,4.4941076411813246,False,defocus,reject
16,1000,11.826642881684156,0.1597020275545401,0.03549992308781376,0.16501571805498266,0.38389788486292836,1.0,0.075,0.75,80,198.85601806640625,552.6066284179688,1.7158704500000002,-1,1450,0.025284567671095468,0.8022590331683007,1.2389490544464068,4.18438079949008,False,rigid-doublet;not-round,reject
952,631,12.964161108471066,0.19749655446528488,0.08558692733420459,0.12282468369531672,0.3382368240664604,1.0,0.02,0.9166666666666666,50,1526.136474609375,96.01823425292967,1.6116179,-1,-1,,,2.0367864093877754,6.863919316999604,False,not-round,reject
25,1000,12.521915977654961,0.26013827737711437,0.07837701686577553,0.1825735707676816,0.49687966512476867,1.0,0.1375,0.7916666666666666,80,947.2286682128906,231.89551544189453,1.58216125,1,1331,0.054509868208453355,0.7041415011981131,0.9363667264554757,3.5931940336811383,False,rigid-doublet;not-round;elongated;defocus,reject
891,657,11.256543158965195,0.1537362988784679,0.020496861910859407,0.10233503360530494,0.3261264859585402,1.0,0.0,0.75,52,155.63917541503906,1198.20947265625,1.5495448,1,917,0.044532664940637526,0.7619751681763771,1.2054074769473662,3.694556906280925,False,rigid-doublet;not-round,reject
1688,332,17.73532411140286,0.027442953541336843,0.09827451689577806,0.2588482280462621,0.5293022027659807,1.0,0.15384615384615385,0.7708333333333334,26,1039.0736083984375,245.71022033691406,1.5197377,1,-1,,,0.7396196430945836,6.386873955287542,True,not-round;elongated;mislink,reject
50,1000,11.169825095169767,0.1631791320576466,0.04245397412008803,0.12678161765938317,0.37645645879990586,1.0,0.1,0.8125,80,1130.7879028320312,254.6037139892578,1.40767115,1,1355,0.06856245593333678,0.7480419152491403,1.2892980105139773,5.3520588545926655,False,rigid-doublet;not-round,reject
1024,603,12.23682604854,0.04674188743512857,0.06215155230687068,0.1511456523029115,0.44179823178525146,1.0,0.0625,0.8333333333333334,48,1347.8299560546875,685.71533203125,1.3984513,1,19,0.04187441984411789,0.7152930939810017,1.095145266117553,4.274354179525865,False,rigid-doublet;not-round,reject
13,992,11.289357515724163,0.13429346428626926,0.07893296778274156,0.1993702504549786,0.42320764227536334,1.0,0.1625,0.875,80,212.50511932373047,552.2833862304688,1.3970432,-1,1450,0.04346527141057101,0.7560441120481283,1.3235646238047545,7.518226865753934,False,rigid-doublet;not-round,reject
1311,501,12.978000313967172,0.18631649598792144,0.08715503411231293,0.13771395390730906,0.35473105251956394,1.0,0.025,0.90625,40,1451.7015380859375,260.2362365722656,1.3136554,-1,-1,,,2.0891003798266894,8.076091661539223,False,not-round,reject
34,1000,9.916776016455684,0.19936397960133684,0.050065631182602335,0.13867016416503533,0.4063944946672442,1.0,0.1125,0.875,80,929.7020874023438,179.23941802978516,1.2694287,1,-1,,,1.4383900750054845,5.221873462038478,False,not-round,reject
