frame,x,y,r_px,r_um
486,700.9,457.1,12.5,1.7976
486,665.17,664.04,9.0,1.2943
486,1047.38,1002.64,11.5,1.6538
486,135.97,1135.06,11.0,1.5819
486,1045.19,163.77,8.0,1.1505
486,575.8,463.4,11.0,1.5819
486,334.79,1211.08,14.0,2.0133
486,515.58,1157.15,7.5,1.0786
486,740.8,171.11,8.0,1.1505
486,773.5,813.33,5.0,0.719
486,757.61,1082.9,9.0,1.2943
486,995.58,805.28,6.0,0.8629
486,122.94,703.22,8.0,1.1505
486,457.23,284.62,6.5,0.9348
486,575.21,503.38,7.5,1.0786
486,1393.95,776.62,8.5,1.2224
486,1447.04,37.49,8.0,1.1505
486,1300.19,712.32,7.5,1.0786
486,1396.74,1215.78,7.0,1.0067
486,1600.12,393.38,7.0,1.0067
486,461.24,135.13,9.0,1.2943
486,1237.13,152.93,4.0,0.5752
486,1470.14,247.82,5.0,0.719
486,908.77,719.02,5.0,0.719
