t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px,moved
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7888375695754348,0.1808429853394955,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09299280218579042,0.12762623223085257,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06336918674560366,-0.0259956633725551,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12676367635071983,-0.09008126193577937,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2667.0,0.13783721221739142,-0.09657197526337313,0.0
5.0,2416.0,58.83850860595703,419.6504821777344,288.19903564453125,43.672497952647056,88.76936408468859,0.0,7337.0,5.598262270589544,1.1257775739516092,0.0
6.0,5874.0,79.37893676757812,393.0,291.0,49.80011569665138,112.69871339105873,0.0,12116.0,11.85716374159233,2.4045534232809587,0.0
7.0,7213.0,85.86787414550781,388.052490234375,292.649169921875,55.80114531437269,125.33714348862692,0.0,7453.0,-1.578900349294372,-0.8995547164071809,0.0
8.0,8813.0,87.78534698486328,386.0,292.5,55.231034555138535,125.09996003196804,0.0,12021.0,18.45451682900648,-2.7595986697622266,0.0
9.0,11322.0,98.11507415771484,377.4493103027344,299.2848205566406,59.88799880971885,140.54162989926152,0.0,17146.0,13.280596040878663,-15.193502640134795,0.0
10.0,11923.0,98.11507415771484,377.4493103027344,299.2848205566406,61.06500040668601,140.94183190903917,0.0,11153.0,0.5271294210405131,0.17221255567756089,0.0
11.0,15540.0,108.04291534423828,385.5,291.0,65.74186620515503,137.2780025504763,0.0,12085.0,0.34175743682715165,0.5969879039201942,0.0
12.0,16346.0,109.4133071899414,387.5,293.0,66.86862064341936,137.34536686287265,0.0,13251.0,0.7863178468630849,0.007512969481467735,0.0
13.0,16761.0,111.64462280273438,386.5,297.5,67.42268165151987,138.2931668593933,0.0,23286.0,19.373723482306104,-22.184706072656923,0.0
14.0,17920.0,114.37010955810547,386.5,297.5,68.94633908572864,139.43170367684618,0.0,15123.0,-0.1675892379328161,1.2521556958402584,0.0
15.0,25166.0,180.6060333251953,318.5,295.5,99.63192748224658,253.95324371517376,0.0,24503.0,22.982965052987197,-22.320853276463026,0.0
16.0,26844.0,182.60269165039062,321.3682556152344,301.8045349121094,100.25929359680164,251.40604606890423,0.0,16486.0,-0.3737458307666657,-0.2382563424937416,0.0
17.0,28516.0,184.2322998046875,320.9067687988281,288.1541748046875,100.60745876200377,248.62672799168774,0.0,17337.0,-0.3861181631255022,-0.3173356853724272,0.0
18.0,29492.0,186.1465606689453,320.5,277.5,100.72859369539681,246.98269169920727,0.0,18955.0,-0.7363758083735092,0.24459199149782762,0.0
19.0,30554.0,187.7233123779297,322.0,277.0,101.11061195477582,245.15097080367184,0.0,19653.0,-1.2759125487493748,0.1843841986196253,0.0
20.0,30624.0,187.7233123779297,322.0,277.0,101.11272853863231,245.08161905781512,0.0,29808.0,26.577406846563576,-31.566158721216652,0.0
21.0,31726.0,188.69517517089844,323.2210388183594,277.87939453125,101.59821810790488,243.18717068817182,0.0,21297.0,-0.4019895814570873,0.46675397705371324,0.0
22.0,33485.0,190.27003479003906,324.5926818847656,276.86773681640625,102.54816690038149,240.04707850759812,0.0,22691.0,-0.5187929515316227,0.4971588000518068,0.0
