t_s,M_px,Rg_px,R95seed_px,Rmaxseed_px,circ_cx_px,circ_cy_px,circ_R_px,edge,n_comp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,1016.0,27.986745703048793,63.01383787814044,72.78049189171504,483.0,341.0,45.7056770324707,0.0,2.0
5.0,1763.0,32.1866022663489,69.25749002759044,79.30952023559341,488.5127258300781,339.1963195800781,49.927490234375,0.0,1.0
5.5,3415.0,36.940216467411304,72.20110105315815,83.19855767980596,480.0252685546875,347.48809814453125,61.5198974609375,0.0,1.0
6.0,4981.0,41.26472125937116,77.52418977325722,88.45903006477066,482.8943786621094,351.038330078125,69.14817810058594,0.0,1.0
6.5,7474.0,46.8782975712665,81.78630692236935,93.40770846134703,477.5,342.5,80.70016479492188,0.0,1.0
7.0,8946.0,49.012687235761035,84.71717653463199,98.0612053770501,477.0,342.5,83.66759490966797,0.0,1.0
7.5,10149.0,50.51757803650447,86.28441342444185,98.84331034521254,476.5,338.5,85.70015716552734,0.0,1.0
8.0,11562.0,52.17570169625905,88.02272433866155,102.61091559868278,476.1996765136719,338.0523986816406,88.74987030029297,0.0,1.0
8.5,12629.0,53.23942663261828,89.56003573022959,103.40696301506973,476.5,337.0,90.9465103149414,0.0,1.0
9.0,13700.0,54.50391063830313,91.35288681974885,105.38026380684383,476.616943359375,340.04144287109375,92.70518493652344,0.0,1.0
9.5,14641.0,56.027289158234815,92.69843580125827,102.95630140987001,474.5,344.0,95.34290313720703,0.0,1.0
10.0,15626.0,57.34454761384759,94.64142856064674,106.38138934982942,473.1795654296875,343.9421081542969,96.99653625488281,0.0,1.0
10.5,16563.0,58.62330048375246,96.33275663033837,109.45775440780794,473.3222351074219,342.2398376464844,99.92847442626953,0.0,1.0
11.0,17455.0,59.76433213752307,97.87951598441063,112.53888216967503,474.18341064453125,342.8135070800781,101.95401763916016,0.0,1.0
11.5,18313.0,60.96892360850169,99.76472322419383,112.61438629233834,473.2734375,342.35040283203125,103.080078125,0.0,1.0
12.0,19347.0,62.30521468053739,101.62775121483602,114.12712210513327,471.0652160644531,345.6558532714844,105.7799301147461,0.0,1.0
12.5,20137.0,63.365497050362805,103.07764064044152,115.91807451816995,471.0,348.0,107.54078674316406,0.0,1.0
13.0,20925.0,64.5142704497633,104.80935072788114,118.37651794169315,471.5,349.0,108.79463195800781,0.0,1.0
13.5,21855.0,65.80644020902768,106.85036265731624,120.07081243999309,470.0638732910156,350.3908386230469,111.26971435546875,0.0,1.0
14.0,22763.0,67.16121175130048,108.5200440906045,122.2620137246234,473.63616943359375,342.12542724609375,112.63511657714844,0.0,1.0
14.5,23184.0,67.83744093194709,109.11003620199197,121.92620719107111,473.5,345.5,113.85307312011719,0.0,1.0
15.0,23907.0,68.9790372234269,110.60289327137876,123.68508398347798,474.5,346.5,116.37234497070312,0.0,1.0
15.5,24592.0,69.78398676264385,111.97923894896913,126.28935030318273,473.5,348.5,120.17705535888672,0.0,1.0
16.0,25209.0,70.63636492841226,113.07077429645558,129.1239714383042,475.87042236328125,348.8447570800781,120.37748718261719,0.0,1.0
16.5,25861.0,71.44115524180943,114.21471008587291,130.11533345459327,476.0,343.0,123.0326156616211,0.0,1.0
17.0,26536.0,72.30426563598255,115.26057435220423,132.23085872821065,475.0,348.5,124.47198486328125,0.0,1.0
17.5,28041.0,74.88850898876233,120.50311199301038,148.49915824677257,474.8021545410156,347.5995178222656,126.49088287353516,0.0,1.0
18.0,28906.0,75.9420967838575,122.01639234135715,149.91330828182,477.0,346.5,127.30387115478516,0.0,1.0
18.5,28784.0,75.05833056075542,118.53269591129698,137.7679207943562,473.5,354.5,130.15577697753906,0.0,1.0
19.0,30529.0,77.84701062907806,123.97580409095961,150.6950563223625,473.02490234375,352.0162353515625,132.93788146972656,0.0,1.0
19.5,31190.0,78.75804246567004,125.03419530689256,149.96666296213968,472.5649719238281,353.9756164550781,133.94570922851562,0.0,1.0
20.0,32405.0,80.71617203400682,130.034610777285,163.44418007380992,479.7681579589844,343.975830078125,136.71279907226562,0.0,1.0
20.5,32925.0,80.89227572761722,128.3160161476345,153.48289807011074,474.0064697265625,355.71051025390625,137.71705627441406,0.0,1.0
21.0,34287.0,83.17694074762206,134.2091650140435,165.0242406436097,478.2217712402344,344.4708557128906,140.20045471191406,0.0,1.0
21.5,34919.0,83.62040693103931,133.30678879175449,163.63679292872982,476.5086975097656,346.9313659667969,141.54649353027344,0.0,1.0
22.0,35505.0,84.48663043638645,135.35878250043476,165.07574019219177,477.79815673828125,349.0733947753906,142.7894287109375,0.0,1.0
22.5,35949.0,84.4670494144404,134.08206442324789,156.31058825300352,475.5,358.0,143.8863525390625,0.0,1.0
23.0,36797.0,85.88371294443193,137.44089638822936,164.7573974060042,477.0824279785156,355.0041809082031,146.3748779296875,0.0,1.0
23.5,37524.0,86.71602035941383,138.10286011975936,165.0242406436097,477.38250732421875,354.9757995605469,146.39401245117188,0.0,1.0
24.0,38326.0,87.68034404627629,139.74262055650738,171.20747647226156,480.4814453125,354.36456298828125,149.64678955078125,0.0,1.0
24.5,38923.0,88.34643882282033,140.75581667308026,171.0263137648707,480.2850341796875,356.60345458984375,151.01873779296875,0.0,1.0
