t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-0.14266444226450403,0.2492156371947658
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04296183540827769,-0.022989883481272955
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22923944882450087,0.4398979753588037
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1575756217828257,0.43860260810913587
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.2561658801686235,0.004296896969776753
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.14134934445291947,-0.04059425500082625
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,0.1586850258895538,0.24751065711723186
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0.37550220173750404,-0.2540887988840268
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.0,0.4513036767110634,-0.016673062435017982
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.0,0.5601058391278002,0.10186382094235569
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1471.0,0.6969791753825803,-0.04383953541560004
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1838.0,0.6850536608169477,0.08179269231334274
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335.0,0.7431372925676669,0.014091199725100978
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2326.0,0.7094753434391805,-0.07776117565242657
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,0.8970992363280175,0.0854436326949326
15.0,1469.0,41.24489212036133,399.0322570800781,324.741943359375,27.350466224930923,103.5944011502593,0.0,2929.0,0.7087500426869155,0.06568178919206957
16.0,1627.0,46.09782028198242,397.0,321.0,28.657194579636716,103.85566907973777,0.0,3481.0,0.8015088149328449,0.11308510745340072
