t_s,M_px,Rg_px,R95seed_px,Rmaxseed_px,circ_cx_px,circ_cy_px,circ_R_px,circ_R_raw_px,edge,n_comp
0.0,20.0,2.6485845276298057,40.346333969859096,41.012193308819754,313.5,326.5,4.743516445159912,4.743516445159912,0.0,1.0
0.5,11.0,1.6363636363636365,51.03917711685352,51.088159097779204,313.5,326.5,4.743516445159912,4.743516445159912,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,114.0,17.38750502145254,63.681445178761926,66.48308055437865,325.0,336.0,6.362656160145998,25.020092010498047,0.0,3.0
2.0,13.0,2.1784311166932766,48.83822932490898,49.040799340956916,325.0,336.0,7.981795875132084,25.020092010498047,0.0,1.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,162.0,16.819605787615384,66.46989315288837,69.42621983083913,325.5,336.5,9.60093559011817,25.505001068115234,0.0,2.0
3.5,483.0,19.04050389207423,70.1961333715083,74.10802925459562,326.0,344.5,11.220075305104254,29.34716033935547,0.0,1.0
4.0,940.0,28.809508295368644,77.88677618268267,81.34494452638098,334.5,355.0,12.83921502009034,40.69715118408203,0.0,1.0
4.5,1181.0,30.283261983849947,77.4919350642375,81.70679286326198,334.0,355.0,14.458354735076425,41.10970687866211,0.0,1.0
5.0,1462.0,29.43966669547061,78.74515838672176,82.87339742040264,335.0,355.5,16.07749445006251,42.14567947387695,0.0,1.0
5.5,1575.0,29.922614493901893,78.64032039298311,82.56512580987206,334.5,355.5,17.696634165048597,42.47950744628906,0.0,1.0
6.0,1741.0,30.009587577160733,78.7210264160726,83.38465086573187,335.5,354.5,19.315773880034683,43.15679168701172,0.0,1.0
6.5,1903.0,29.978733499248882,79.50786068678863,84.48076704197234,335.5,355.5,20.93491359502077,43.89201354980469,0.0,1.0
7.0,1973.0,30.295009259536478,79.57511793049531,84.69356528095862,336.5396423339844,354.394287109375,22.554053310006857,44.03800964355469,0.0,1.0
7.5,2126.0,31.049748804705853,79.54401069148062,84.69356528095862,337.4821472167969,353.1785583496094,24.173193024992944,45.170955657958984,0.0,2.0
8.0,2320.0,31.465104526107684,80.32620950706105,85.492689745966,335.0,355.5,25.79233273997903,46.38166809082031,0.0,1.0
8.5,2606.0,32.6460027770325,80.29943887516785,86.1278120005379,337.5,347.0,27.411472454965118,51.58740234375,0.0,2.0
9.0,2808.0,33.35886278067461,80.34861344668003,86.40023148117139,335.0,347.0,29.030612169951205,53.0095329284668,0.0,2.0
9.5,3183.0,33.87247071440141,80.62257748298549,87.64131445842195,333.0,349.0,30.64975188493729,53.535133361816406,0.0,2.0
10.0,3462.0,34.731686726190425,80.77623394831116,88.32326986700618,332.0,348.5,32.26889159992338,54.500099182128906,0.0,1.0
10.5,3783.0,35.317856207190125,80.74279606017235,89.56003573022959,330.8248291015625,349.76641845703125,33.88803131490946,54.93614196777344,0.0,2.0
11.0,4051.0,35.69682281094427,80.97530275865137,91.09335870413386,329.8038330078125,350.46875,35.507171029895545,55.012237548828125,0.0,1.0
11.5,4319.0,36.22176072067452,81.02468759581859,91.76055797563569,326.1029968261719,352.6691589355469,37.12631074488163,56.41840362548828,0.0,1.0
12.0,4614.0,36.66896048485188,81.03116636237881,92.44457799135652,326.3009338378906,351.5428771972656,38.74545045986771,57.18728256225586,0.0,1.0
12.5,4778.0,37.0981703720899,81.49969136752743,94.64142856064674,330.9107666015625,347.1114196777344,40.364590174853795,58.26015853881836,0.0,1.0
13.0,4930.0,37.38293598577693,81.49233092751734,94.37160589923221,330.85809326171875,347.0556335449219,41.98372988983988,58.335105895996094,0.0,1.0
13.5,5067.0,37.60977268166258,81.49233092751734,94.64142856064674,331.0,346.5,43.60286960482596,58.798484802246094,0.0,1.0
14.0,5257.0,37.986352553844696,81.54140052758476,94.59386872308374,330.0,347.0,45.222009319812045,59.36338806152344,0.0,1.0
14.5,5450.0,38.390952330026,81.60330852871259,95.0789145920377,329.0652770996094,347.9227600097656,46.84114903479813,59.66705322265625,0.0,1.0
15.0,5645.0,39.183760772292985,82.48636161811974,95.80187889597991,323.5,358.0,48.46028874978421,63.720191955566406,0.0,2.0
15.5,5867.0,39.74912291732118,82.9409310616571,96.317184344228,321.5,358.0,50.079428464770295,66.53016662597656,0.0,1.0
16.0,5977.0,40.123847792131826,83.19855767980596,95.90099061010788,321.5,358.0,51.69856817975638,66.53016662597656,0.0,1.0
16.5,6130.0,40.50080487183237,83.64000191532311,98.0612053770501,321.0,358.5,53.31770789474246,66.61278533935547,0.0,1.0
17.0,6329.0,41.169366031646135,84.59905436823747,99.46356116689167,321.5,359.0,54.936847609728545,67.31465911865234,0.0,1.0
17.5,6498.0,41.557528342280676,84.93556253754306,99.82484660644363,322.0,358.0,56.55598732471463,69.20269775390625,0.0,1.0
18.0,6680.0,41.96330529458504,85.61979698562828,100.0199980003999,321.5,358.0,58.17512703970071,69.70124816894531,0.0,1.0
18.5,6791.0,42.15526736939819,85.6008165075672,100.43903623591775,320.5,358.5,59.794266754686795,70.33145904541016,0.0,1.0
19.0,6963.0,42.66362804504828,85.79218991349326,100.66280345788111,320.0,359.5,61.41340646967288,70.86793518066406,0.0,1.0
19.5,7169.0,43.24994620858311,86.68333173107735,102.39140588936164,321.0,359.5,63.03254618465896,71.4371337890625,0.0,1.0
20.0,7409.0,44.13973886019501,86.51704807255136,102.83968105745953,319.5,361.0,64.65168589964505,71.83497619628906,0.0,1.0
20.5,7669.0,44.93909603570618,86.54940743822965,103.36827366266692,320.0,360.5,66.27082561463114,72.52767944335938,0.0,1.0
21.0,7961.0,46.31762729199592,88.86506625215557,113.6001760562016,332.9259338378906,354.9259338378906,67.88996532961723,76.58999633789062,0.0,2.0
21.5,8116.0,46.597734963044104,89.10667763978185,113.6001760562016,332.0,355.0,69.50910504460332,77.23351287841797,0.0,2.0
22.0,8327.0,47.20327783921588,90.21251393297938,114.49017425089369,332.5,353.5,71.1282447595894,77.8621597290039,0.0,2.0
22.5,8467.0,47.563080620762015,90.0161079055643,114.03946685248927,333.0,353.0,72.7473844745755,77.89746856689453,0.0,2.0
23.0,8631.0,48.135664936381154,90.26350276252532,115.39497389401325,333.5,352.0,74.36652418956159,78.93836975097656,0.0,2.0
23.5,8762.0,48.43536642048416,91.54780172128658,115.41230437002807,333.0,353.0,75.98566390454768,79.24655151367188,0.0,3.0
24.0,8912.0,48.65248954384684,91.50190996395212,115.83609109426992,333.0,353.0,77.60480361953377,79.24655151367188,0.0,2.0
24.5,9122.0,49.201457208227836,92.53863949824917,116.72617529928752,334.0,352.5,79.22394333451986,79.64462280273438,0.0,2.0
25.0,9426.0,50.07052888313897,93.05643437369729,116.72617529928752,332.5,353.5,80.10315704345703,80.10315704345703,0.0,2.0
25.5,9529.0,50.22368115553303,93.07523745250303,116.29703349613007,333.0,352.0,81.34504699707031,81.34504699707031,0.0,2.0
26.0,9764.0,50.76835658860077,94.89072616163774,116.76472069936193,333.0,352.0,81.34504699707031,81.34504699707031,0.0,2.0
26.5,9898.0,51.02047645044235,95.0789145920377,116.29703349613007,330.5652160644531,354.5652160644531,81.42189025878906,81.42189025878906,0.0,2.0
27.0,10023.0,51.157057317178634,95.4829827770373,116.36150566231085,331.759033203125,353.759033203125,81.68370819091797,81.68370819091797,0.0,2.0
27.5,10165.0,51.42207596983951,96.17484069495947,116.36150566231085,331.0,354.5,82.37879943847656,82.37879943847656,0.0,3.0
28.0,10362.0,51.76271872345928,96.88111270384312,116.36150566231085,332.5,353.0,82.41520690917969,82.41520690917969,0.0,1.0
28.5,10578.0,52.303663144758325,97.617365241309,116.76472069936193,330.0,355.0,82.73461151123047,82.73461151123047,0.0,1.0
29.0,10682.0,52.531822710421885,97.94488084055634,116.46887996370532,327.5,358.0,83.88245391845703,83.88245391845703,0.0,1.0
29.5,10812.0,52.72371365882718,98.63366358890582,116.61903789690601,327.5,358.5,84.33573913574219,84.33573913574219,0.0,1.0
30.0,10938.0,52.77929748668899,98.04820227909461,116.8289347721702,328.0,358.5,84.66561889648438,84.66561889648438,0.0,2.0
30.5,11049.0,53.06937069132619,98.79270917017546,117.88977903109328,328.0,358.5,84.66561889648438,84.66561889648438,0.0,1.0
31.0,11233.0,53.27973550093576,99.26731280321812,118.15244390193544,330.5,356.5,85.09122467041016,85.09122467041016,0.0,2.0
31.5,11396.0,53.455737859549366,99.65189174365011,118.98319209031165,329.5,357.5,85.60675811767578,85.60675811767578,0.0,2.0
32.0,11508.0,53.633704156422496,100.25766758438849,119.81652640600127,330.0,357.0,85.6330337524414,85.6330337524414,0.0,1.0
32.5,11634.0,53.86674478526625,100.46640949393108,119.81652640600127,329.5,356.5,87.07765197753906,87.07765197753906,0.0,1.0
33.0,11774.0,54.22572372521411,101.09302470433087,120.37026210821342,329.5,356.0,88.19448852539062,88.19448852539062,0.0,1.0
33.5,11906.0,54.402269021235966,101.58124448952923,120.9297316626478,330.0,356.0,88.52693176269531,88.52693176269531,0.0,1.0
34.0,12046.0,54.53255792640797,102.03798257234097,121.75795661885921,329.5,356.0,88.86094665527344,88.86094665527344,0.0,1.0
